topology,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
BA,1,2,0,3,0.0,3.3333333333333335,71.15,1.0400000000000063
BA,1,2,1,3,0.0,1.6666666666666667,75.26,5.150000000000006
BA,1,2,2,6,0.0,1.5,75.25,5.140000000000001
BA,1,2,3,1,0.0,6.0,66.02,-4.090000000000003
BA,1,2,4,1,0.0,6.0,67.88,-2.230000000000004
BA,1,2,5,1,0.0,3.0,67.27,-2.8400000000000034
BA,1,2,6,1,0.0,3.0,71.1,0.9899999999999949
BA,1,2,7,2,0.0,3.5,73.26,3.1500000000000057
BA,1,2,8,1,0.0,6.0,60.37,-9.740000000000002
BA,1,2,9,1,0.0,2.0,73.59,3.480000000000004
BA,1,2,10,1,0.0,3.0,73.67,3.5600000000000023
BA,1,2,11,1,0.0,6.0,66.5,-3.6099999999999994
BA,2,2,0,1,0.0,3.0,64.8,-5.9950000000000045
BA,2,2,1,3,0.0,2.6666666666666665,66.45,-4.344999999999999
BA,2,2,2,6,0.0,1.8333333333333333,74.67,3.875
BA,2,2,3,1,0.0,6.0,70.37,-0.42499999999999716
BA,2,2,4,1,0.0,3.0,67.48,-3.3149999999999977
BA,2,2,5,2,0.0,3.5,72.17,1.375
BA,2,2,6,1,0.0,6.0,69.58,-1.2150000000000034
BA,2,2,7,2,0.0,3.5,73.81,3.0150000000000006
BA,2,2,8,2,0.0,3.5,71.19,0.394999999999996
BA,2,2,9,1,0.0,2.0,73.91,3.114999999999995
BA,2,2,10,1,0.0,2.0,74.83,4.034999999999997
BA,2,2,11,1,0.0,2.0,70.28,-0.5150000000000006
ER,0,4,0,5,0.5,5.0,69.41,-1.2683333333333309
ER,0,4,1,3,0.6666666666666666,5.0,71.76,1.0816666666666777
ER,0,4,2,5,0.6,5.2,70.45,-0.22833333333332462
ER,0,4,3,4,0.6666666666666666,5.75,69.88,-0.798333333333332
ER,0,4,4,5,0.5,5.0,69.82,-0.8583333333333343
ER,0,4,5,4,0.6666666666666666,5.0,68.89,-1.788333333333327
ER,0,4,6,5,0.4,4.8,71.41,0.7316666666666691
ER,0,4,7,6,0.3333333333333333,5.0,72.39,1.711666666666673
ER,0,4,8,6,0.4,4.833333333333333,70.44,-0.23833333333332973
ER,0,4,9,5,0.2,4.6,70.5,-0.17833333333332746
ER,0,4,10,6,0.4666666666666667,5.166666666666667,71.64,0.9616666666666731
ER,0,4,11,4,0.16666666666666666,4.75,71.55,0.8716666666666697
ER,1,4,0,3,0.0,5.333333333333333,67.2,-3.5791666666666657
ER,1,4,1,5,0.2,3.4,73.76,2.9808333333333366
ER,1,4,2,6,0.2,3.5,73.5,2.7208333333333314
ER,1,4,3,5,0.2,3.4,72.66,1.880833333333328
ER,1,4,4,2,1.0,4.5,68.43,-2.3491666666666617
ER,1,4,5,4,0.3333333333333333,4.5,71.31,0.5308333333333337
ER,1,4,6,2,1.0,4.5,73.54,2.7608333333333377
ER,1,4,7,2,1.0,5.0,63.34,-7.439166666666665
ER,1,4,8,3,0.6666666666666666,5.0,68.93,-1.8491666666666617
ER,1,4,9,4,0.3333333333333333,4.25,71.51,0.7308333333333366
ER,1,4,10,3,0.6666666666666666,4.0,72.14,1.360833333333332
ER,1,4,11,5,0.3,4.2,73.03,2.2508333333333326
ER,2,4,0,3,0.0,4.666666666666667,68.47,-1.9008333333333383
ER,2,4,1,5,0.1,3.2,73.17,2.7991666666666646
ER,2,4,2,6,0.06666666666666667,3.3333333333333335,72.59,2.2191666666666663
ER,2,4,3,5,0.5,4.6,73.25,2.879166666666663
ER,2,4,4,2,0.0,4.0,64.71,-5.660833333333343
ER,2,4,5,4,0.5,4.0,73.58,3.209166666666661
ER,2,4,6,3,0.0,3.6666666666666665,68.62,-1.7508333333333326
ER,2,4,7,3,0.0,3.0,70.34,-0.030833333333333712
ER,2,4,8,2,0.0,5.5,61.05,-9.32083333333334
ER,2,4,9,3,0.0,4.333333333333333,72.68,2.3091666666666697
ER,2,4,10,4,0.6666666666666666,4.75,72.53,2.159166666666664
ER,2,4,11,4,0.6666666666666666,4.5,73.46,3.0891666666666566
WS,0,4,0,5,0.2,4.2,72.74,1.5733333333333235
WS,0,4,1,4,0.6666666666666666,4.75,74.12,2.953333333333333
WS,0,4,2,5,0.4,4.6,73.69,2.5233333333333263
WS,0,4,3,5,0.4,4.2,74.21,3.0433333333333223
WS,0,4,4,5,0.5,4.4,70.98,-0.18666666666666742
WS,0,4,5,3,0.3333333333333333,4.333333333333333,68.77,-2.3966666666666754
WS,0,4,6,3,0.0,4.0,66.77,-4.396666666666675
WS,0,4,7,2,1.0,4.0,63.12,-8.046666666666674
WS,0,4,8,4,0.3333333333333333,3.25,69.01,-2.1566666666666663
WS,0,4,9,4,0.3333333333333333,3.75,72.0,0.8333333333333286
WS,0,4,10,4,0.16666666666666666,4.25,74.51,3.3433333333333337
WS,0,4,11,4,0.16666666666666666,4.5,74.08,2.913333333333327
WS,1,4,0,5,0.4,4.0,72.85,2.4816666666666833
WS,1,4,1,4,0.3333333333333333,4.25,70.87,0.5016666666666936
WS,1,4,2,4,0.5,4.25,69.27,-1.098333333333315
WS,1,4,3,3,0.6666666666666666,4.333333333333333,71.32,0.9516666666666822
WS,1,4,4,5,0.3,4.2,71.35,0.9816666666666833
WS,1,4,5,4,0.16666666666666666,4.0,72.28,1.9116666666666902
WS,1,4,6,4,0.5,4.0,66.4,-3.9683333333333053
WS,1,4,7,3,1.0,4.333333333333333,62.79,-7.578333333333312
WS,1,4,8,5,0.3,3.8,70.79,0.4216666666666953
WS,1,4,9,4,0.5,4.0,68.32,-2.048333333333318
WS,1,4,10,3,0.3333333333333333,4.666666666666667,74.28,3.91166666666669
WS,1,4,11,4,0.3333333333333333,4.0,73.9,3.5316666666666947
WS,2,4,0,3,0.6666666666666666,4.333333333333333,71.85,0.9791666666666572
WS,2,4,1,4,0.5,3.75,71.48,0.6091666666666669
WS,2,4,2,3,0.3333333333333333,4.666666666666667,67.93,-2.9408333333333303
WS,2,4,3,5,0.3,3.8,72.95,2.0791666666666657
WS,2,4,4,3,0.6666666666666666,5.333333333333333,72.89,2.0191666666666634
WS,2,4,5,2,1.0,4.5,66.0,-4.870833333333337
WS,2,4,6,5,0.3,4.0,73.47,2.5991666666666617
WS,2,4,7,4,0.5,4.0,67.62,-3.2508333333333326
WS,2,4,8,4,0.6666666666666666,5.0,66.84,-4.030833333333334
WS,2,4,9,5,0.4,4.0,72.54,1.6691666666666691
WS,2,4,10,6,0.3333333333333333,4.333333333333333,73.38,2.5091666666666583
WS,2,4,11,4,0.3333333333333333,4.5,73.5,2.629166666666663
BA,0,4,0,7,0.23809523809523808,3.4285714285714284,73.93,3.441666666666677
BA,0,4,1,5,0.3,3.8,74.62,4.131666666666675
BA,0,4,2,4,0.16666666666666666,3.5,69.63,-0.8583333333333343
BA,0,4,3,5,0.3,4.0,75.04,4.5516666666666765
BA,0,4,4,2,1.0,6.0,64.39,-6.098333333333329
BA,0,4,5,3,0.3333333333333333,3.6666666666666665,70.74,0.25166666666666515
BA,0,4,6,3,0.3333333333333333,4.666666666666667,65.89,-4.598333333333329
BA,0,4,7,2,1.0,5.5,68.86,-1.6283333333333303
BA,0,4,8,2,0.0,3.5,61.13,-9.358333333333327
