topology,mixing_strategy,num_nodes,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
WS,metropolis_hastings,30,42,4,28,3,0.3333333333333333,4.333333333333333,77.06,1.0136666666666514
WS,metropolis_hastings,30,42,4,29,5,0.2,4.2,76.57,0.5236666666666423
BA,metropolis_hastings,30,42,4,0,7,0.14285714285714285,4.285714285714286,75.64,0.3100000000000165
BA,metropolis_hastings,30,42,4,1,5,0.1,3.6,76.78,1.450000000000017
BA,metropolis_hastings,30,42,4,2,5,0.3,4.6,78.01,2.680000000000021
BA,metropolis_hastings,30,42,4,3,2,1.0,6.0,68.86,-6.469999999999985
BA,metropolis_hastings,30,42,4,4,5,0.2,5.6,77.5,2.170000000000016
BA,metropolis_hastings,30,42,4,5,7,0.19047619047619047,5.285714285714286,77.9,2.5700000000000216
BA,metropolis_hastings,30,42,4,6,9,0.08333333333333333,4.333333333333333,76.66,1.3300000000000125
BA,metropolis_hastings,30,42,4,7,4,0.0,5.25,75.89,0.5600000000000165
BA,metropolis_hastings,30,42,4,8,5,0.1,5.8,75.5,0.17000000000001592
BA,metropolis_hastings,30,42,4,9,7,0.14285714285714285,4.285714285714286,76.89,1.5600000000000165
BA,metropolis_hastings,30,42,4,10,4,0.0,4.0,71.65,-3.6799999999999784
BA,metropolis_hastings,30,42,4,11,7,0.047619047619047616,3.2857142857142856,77.45,2.1200000000000188
BA,metropolis_hastings,30,42,4,12,4,0.0,5.0,76.59,1.2600000000000193
BA,metropolis_hastings,30,42,4,13,2,1.0,6.0,74.6,-0.7299999999999898
BA,metropolis_hastings,30,42,4,14,3,0.3333333333333333,5.666666666666667,74.19,-1.1399999999999864
BA,metropolis_hastings,30,42,4,15,3,0.0,4.333333333333333,76.83,1.5000000000000142
BA,metropolis_hastings,30,42,4,16,4,0.0,3.0,74.25,-1.079999999999984
BA,metropolis_hastings,30,42,4,17,2,0.0,5.5,70.55,-4.779999999999987
BA,metropolis_hastings,30,42,4,18,3,0.3333333333333333,6.0,76.05,0.7200000000000131
BA,metropolis_hastings,30,42,4,19,2,1.0,5.0,76.06,0.7300000000000182
BA,metropolis_hastings,30,42,4,20,2,0.0,5.0,75.28,-0.04999999999998295
BA,metropolis_hastings,30,42,4,21,2,0.0,6.5,69.93,-5.399999999999977
BA,metropolis_hastings,30,42,4,22,2,0.0,6.5,74.1,-1.2299999999999898
BA,metropolis_hastings,30,42,4,23,3,0.0,3.0,77.61,2.2800000000000153
BA,metropolis_hastings,30,42,4,24,3,0.0,4.666666666666667,77.21,1.8800000000000097
BA,metropolis_hastings,30,42,4,25,2,0.0,6.0,76.14,0.8100000000000165
BA,metropolis_hastings,30,42,4,26,2,1.0,8.0,74.54,-0.7899999999999778
BA,metropolis_hastings,30,42,4,27,2,0.0,7.0,72.21,-3.1199999999999903
BA,metropolis_hastings,30,42,4,28,2,0.0,3.0,77.91,2.5800000000000125
BA,metropolis_hastings,30,42,4,29,2,0.0,4.0,77.12,1.7900000000000205
