topology,mixing_strategy,num_nodes,seed,k_target,round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,communication_mb,time_per_round
ER,uniform,30,42,4,25,72.973,1.2115146167779676,69.62,75.7,1064.0499114990234,55.43260645866394
ER,uniform,30,42,4,26,73.29866666666665,1.2738543436707706,70.45,76.08,1106.6119079589844,55.09401226043701
ER,uniform,30,42,4,27,73.55433333333332,1.2953807248149949,70.16,76.15,1149.1739044189453,55.35081243515015
ER,uniform,30,42,4,28,73.81400000000001,1.1949716872517675,71.26,76.17,1191.7359008789062,55.20229434967041
ER,uniform,30,42,4,29,74.21033333333335,1.0783397217739668,72.15,76.46,1234.2978973388672,55.16482949256897
ER,uniform,30,42,4,30,74.41733333333333,1.0776020704426195,72.06,76.59,1276.8598937988281,55.35557746887207
ER,uniform,30,42,4,31,74.43866666666666,1.0947381219065837,71.95,76.77,1319.421890258789,55.33586645126343
ER,uniform,30,42,4,32,74.647,1.1799862993554915,72.31,76.84,1361.98388671875,55.43236494064331
ER,uniform,30,42,4,33,74.76566666666666,1.1473176930950229,72.33,77.02,1404.545883178711,55.48960328102112
ER,uniform,30,42,4,34,74.86033333333333,1.2490195710591936,72.6,77.18,1447.1078796386719,55.51672673225403
ER,uniform,30,42,4,35,75.18333333333334,1.150403793843226,72.67,77.18,1489.6698760986328,55.476799726486206
ER,uniform,30,42,4,36,75.12666666666665,1.34602707583796,71.64,77.28,1532.2318725585938,55.42841577529907
ER,uniform,30,42,4,37,75.4076666666667,1.1179853407903981,73.42,77.4,1574.7938690185547,55.40327286720276
ER,uniform,30,42,4,38,75.46833333333332,1.1239812671432259,73.41,77.67,1617.3558654785156,55.33893346786499
ER,uniform,30,42,4,39,75.76566666666666,1.1588433409606715,73.57,77.66,1659.9178619384766,55.280571937561035
ER,uniform,30,42,4,40,76.30866666666667,1.0770630849160538,73.95,77.87,1702.4798583984375,55.058634519577026
WS,uniform,30,42,4,1,24.244666666666667,6.419228267911614,10.87,35.93,50.07293701171875,54.99686598777771
WS,uniform,30,42,4,2,32.12433333333333,5.982907700738458,20.12,45.18,100.1458740234375,55.386555671691895
WS,uniform,30,42,4,3,37.473666666666674,5.851919048957833,23.36,47.25,150.21881103515625,55.41100883483887
WS,uniform,30,42,4,4,42.098666666666674,5.700571745204355,29.84,51.15,200.291748046875,55.30510425567627
WS,uniform,30,42,4,5,46.872,5.687059814467695,34.76,56.71,250.36468505859375,55.349546909332275
WS,uniform,30,42,4,6,52.025666666666666,5.529880458824484,43.01,60.33,300.4376220703125,55.331586599349976
WS,uniform,30,42,4,7,56.221333333333334,5.399889957726504,45.41,66.55,350.51055908203125,55.33144402503967
WS,uniform,30,42,4,8,60.03033333333334,4.281860563924155,51.67,67.9,400.58349609375,55.387568950653076
WS,uniform,30,42,4,9,62.606333333333325,3.758375964281499,56.11,70.18,450.65643310546875,55.24249720573425
WS,uniform,30,42,4,10,64.49866666666667,2.9889393139075637,59.13,70.86,500.7293701171875,55.315333127975464
WS,uniform,30,42,4,11,66.282,2.637410851573946,60.41,71.84,550.8023071289062,55.4087028503418
WS,uniform,30,42,4,12,67.24633333333334,2.2821298288124527,62.07,71.96,600.875244140625,55.34259009361267
WS,uniform,30,42,4,13,68.126,2.247909547409177,63.59,73.11,650.9481811523438,55.41818404197693
WS,uniform,30,42,4,14,68.94333333333333,2.053897649727356,64.35,73.34,701.0211181640625,55.037830114364624
WS,uniform,30,42,4,15,69.66366666666666,1.8854044364244207,64.98,73.38,751.0940551757812,55.375468730926514
WS,uniform,30,42,4,16,70.11800000000001,1.945982870770793,65.6,73.93,801.1669921875,55.439430952072144
WS,uniform,30,42,4,17,70.69133333333333,1.7868458865336472,66.17,74.05,851.2399291992188,55.46832489967346
WS,uniform,30,42,4,18,71.17766666666667,1.7971879577705707,66.65,74.95,901.3128662109375,55.45767378807068
WS,uniform,30,42,4,19,71.52266666666665,1.7220374237771061,67.96,75.34,951.3858032226562,55.39438343048096
WS,uniform,30,42,4,20,71.8976666666667,1.7943962463427319,68.45,75.16,1001.458740234375,55.39527130126953
WS,uniform,30,42,4,21,72.28600000000002,1.7332851275348022,68.84,75.54,1051.5316772460938,55.372589111328125
WS,uniform,30,42,4,22,72.631,1.765556286273536,68.8,75.78,1101.6046142578125,55.441651582717896
WS,uniform,30,42,4,23,72.95233333333333,1.7269929228446645,69.69,75.81,1151.6775512695312,55.493232011795044
WS,uniform,30,42,4,24,73.28733333333335,1.6126043807731925,70.14,76.24,1201.75048828125,55.57075619697571
WS,uniform,30,42,4,25,73.52600000000001,1.6891508714933277,69.97,76.27,1251.8234252929688,55.395036458969116
WS,uniform,30,42,4,26,73.588,1.6408156508273553,70.35,76.32,1301.8963623046875,55.373668909072876
WS,uniform,30,42,4,27,73.85166666666667,1.581398291245933,70.46,76.68,1351.9692993164062,55.32801628112793
WS,uniform,30,42,4,28,74.19666666666666,1.5646369831014761,70.99,76.86,1402.042236328125,55.02494406700134
WS,uniform,30,42,4,29,74.393,1.526499590566601,71.22,76.77,1452.1151733398438,55.281492710113525
WS,uniform,30,42,4,30,74.68433333333333,1.5003059317648813,71.24,77.22,1502.1881103515625,55.372227907180786
WS,uniform,30,42,4,31,74.656,1.5547274144792513,71.08,77.25,1552.2610473632812,55.205936431884766
WS,uniform,30,42,4,32,74.94233333333335,1.532626684993954,71.13,77.17,1602.333984375,55.08936023712158
WS,uniform,30,42,4,33,75.08666666666667,1.6189077250486585,71.67,77.39,1652.4069213867188,55.31054449081421
WS,uniform,30,42,4,34,75.2563333333333,1.5544462751160688,71.92,77.58,1702.4798583984375,55.40811252593994
WS,uniform,30,42,4,35,75.62733333333334,1.4672739651779034,72.24,77.82,1752.5527954101562,55.460362911224365
WS,uniform,30,42,4,36,75.712,1.5014224366690858,72.21,78.2,1802.625732421875,55.45414090156555
WS,uniform,30,42,4,37,75.77333333333333,1.4094829627286105,72.79,77.41,1852.6986694335938,55.4455041885376
WS,uniform,30,42,4,38,75.92733333333334,1.580086354883455,71.78,78.06,1902.7716064453125,55.34990906715393
