topology,mixing_strategy,num_nodes,seed,k_target,p,k_ws,m,num_edges,avg_degree,avg_clustering,diameter,avg_path_length,converged,convergence_round,final_mean_accuracy,final_std_accuracy
ER,uniform,30,42,4,0.13793103448275862,,,51,3.4,0.12777777777777777,6,2.8804597701149426,True,18,76.30866666666667,1.0770630849160538
WS,uniform,30,42,4,0.3,4,,60,4.0,0.2565079365079365,5,2.6873563218390806,True,16,76.463,1.3587056340502894
BA,uniform,30,42,4,,,2,56,3.7333333333333334,0.07884559884559884,4,2.43448275862069,True,16,76.63033333333334,1.2266797553649533
