topology,mixing_strategy,num_nodes,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
BA,uniform,30,42,4,5,5,0.1,5.2,77.78,1.1496666666666613
BA,uniform,30,42,4,6,2,0.0,9.5,76.24,-0.39033333333334497
BA,uniform,30,42,4,7,2,0.0,5.0,77.44,0.8096666666666579
BA,uniform,30,42,4,8,5,0.0,6.0,77.01,0.37966666666666526
BA,uniform,30,42,4,9,6,0.0,3.5,77.04,0.4096666666666664
BA,uniform,30,42,4,10,5,0.0,4.2,77.42,0.7896666666666619
BA,uniform,30,42,4,11,6,0.06666666666666667,3.8333333333333335,77.58,0.9496666666666584
BA,uniform,30,42,4,12,5,0.1,4.8,78.05,1.4196666666666573
BA,uniform,30,42,4,13,4,0.16666666666666666,4.25,77.99,1.359666666666655
BA,uniform,30,42,4,14,2,0.0,6.5,76.79,0.1596666666666664
BA,uniform,30,42,4,15,2,0.0,9.0,76.1,-0.5303333333333455
BA,uniform,30,42,4,16,3,0.0,4.666666666666667,76.61,-0.02033333333334042
BA,uniform,30,42,4,17,3,0.3333333333333333,7.333333333333333,75.98,-0.6503333333333359
BA,uniform,30,42,4,18,3,0.0,3.6666666666666665,76.32,-0.3103333333333467
BA,uniform,30,42,4,19,2,0.0,3.5,77.26,0.6296666666666653
BA,uniform,30,42,4,20,2,0.0,5.0,76.26,-0.37033333333333474
BA,uniform,30,42,4,21,2,0.0,9.5,75.03,-1.6003333333333387
BA,uniform,30,42,4,22,3,0.0,4.0,73.69,-2.940333333333342
BA,uniform,30,42,4,23,2,0.0,8.5,75.67,-0.9603333333333381
BA,uniform,30,42,4,24,2,0.0,4.5,74.95,-1.680333333333337
BA,uniform,30,42,4,25,2,0.0,6.0,77.62,0.9896666666666647
BA,uniform,30,42,4,26,2,1.0,8.5,73.76,-2.8703333333333347
BA,uniform,30,42,4,27,2,0.0,6.0,76.21,-0.4203333333333461
BA,uniform,30,42,4,28,2,0.0,7.5,75.46,-1.170333333333346
BA,uniform,30,42,4,29,2,0.0,5.0,75.23,-1.4003333333333359
