topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,metropolis_hastings,50,42,4,2,48,20.43,4
ER,metropolis_hastings,50,42,4,2,49,31.89,3
ER,metropolis_hastings,50,42,4,3,0,35.51,4
ER,metropolis_hastings,50,42,4,3,1,28.08,9
ER,metropolis_hastings,50,42,4,3,2,37.68,4
ER,metropolis_hastings,50,42,4,3,3,30.29,5
ER,metropolis_hastings,50,42,4,3,4,10.16,1
ER,metropolis_hastings,50,42,4,3,5,25.31,3
ER,metropolis_hastings,50,42,4,3,6,32.86,4
ER,metropolis_hastings,50,42,4,3,7,32.59,5
ER,metropolis_hastings,50,42,4,3,8,31.97,4
ER,metropolis_hastings,50,42,4,3,9,14.76,1
ER,metropolis_hastings,50,42,4,3,10,29.79,3
ER,metropolis_hastings,50,42,4,3,11,27.0,6
ER,metropolis_hastings,50,42,4,3,12,16.46,2
ER,metropolis_hastings,50,42,4,3,13,36.56,5
ER,metropolis_hastings,50,42,4,3,14,29.11,7
ER,metropolis_hastings,50,42,4,3,15,25.57,3
ER,metropolis_hastings,50,42,4,3,16,20.6,5
ER,metropolis_hastings,50,42,4,3,17,26.71,4
ER,metropolis_hastings,50,42,4,3,18,33.18,4
ER,metropolis_hastings,50,42,4,3,19,21.22,1
ER,metropolis_hastings,50,42,4,3,20,29.02,4
ER,metropolis_hastings,50,42,4,3,21,22.13,3
ER,metropolis_hastings,50,42,4,3,22,32.03,8
ER,metropolis_hastings,50,42,4,3,23,27.41,4
ER,metropolis_hastings,50,42,4,3,24,34.49,5
ER,metropolis_hastings,50,42,4,3,25,45.69,5
ER,metropolis_hastings,50,42,4,3,26,25.97,5
ER,metropolis_hastings,50,42,4,3,27,27.13,4
ER,metropolis_hastings,50,42,4,3,28,28.89,4
ER,metropolis_hastings,50,42,4,3,29,35.44,7
ER,metropolis_hastings,50,42,4,3,30,27.63,5
ER,metropolis_hastings,50,42,4,3,31,24.3,3
ER,metropolis_hastings,50,42,4,3,32,35.86,4
ER,metropolis_hastings,50,42,4,3,33,21.8,3
ER,metropolis_hastings,50,42,4,3,34,30.67,2
ER,metropolis_hastings,50,42,4,3,35,19.84,6
ER,metropolis_hastings,50,42,4,3,36,23.55,3
ER,metropolis_hastings,50,42,4,3,37,40.67,4
ER,metropolis_hastings,50,42,4,3,38,24.91,5
ER,metropolis_hastings,50,42,4,3,39,28.67,4
ER,metropolis_hastings,50,42,4,3,40,30.28,3
ER,metropolis_hastings,50,42,4,3,41,22.45,3
ER,metropolis_hastings,50,42,4,3,42,38.14,3
ER,metropolis_hastings,50,42,4,3,43,20.68,2
ER,metropolis_hastings,50,42,4,3,44,35.41,6
ER,metropolis_hastings,50,42,4,3,45,31.14,5
ER,metropolis_hastings,50,42,4,3,46,35.17,2
