topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,5,0,36.84,4
ER,uniform,30,42,4,5,1,44.39,3
ER,uniform,30,42,4,5,2,38.78,4
ER,uniform,30,42,4,5,3,51.47,3
ER,uniform,30,42,4,5,4,40.73,4
ER,uniform,30,42,4,5,5,40.93,4
ER,uniform,30,42,4,5,6,51.26,3
ER,uniform,30,42,4,5,7,39.26,1
ER,uniform,30,42,4,5,8,55.81,7
ER,uniform,30,42,4,5,9,43.34,4
ER,uniform,30,42,4,5,10,37.13,2
ER,uniform,30,42,4,5,11,50.57,4
ER,uniform,30,42,4,5,12,37.86,3
ER,uniform,30,42,4,5,13,42.65,2
ER,uniform,30,42,4,5,14,46.04,3
ER,uniform,30,42,4,5,15,45.03,4
ER,uniform,30,42,4,5,16,51.38,4
ER,uniform,30,42,4,5,17,44.33,3
ER,uniform,30,42,4,5,18,53.66,7
ER,uniform,30,42,4,5,19,29.86,1
ER,uniform,30,42,4,5,20,36.77,4
ER,uniform,30,42,4,5,21,41.34,3
ER,uniform,30,42,4,5,22,40.07,4
ER,uniform,30,42,4,5,23,39.35,2
ER,uniform,30,42,4,5,24,44.02,2
ER,uniform,30,42,4,5,25,51.72,5
ER,uniform,30,42,4,5,26,46.8,5
ER,uniform,30,42,4,5,27,35.2,3
ER,uniform,30,42,4,5,28,45.61,1
ER,uniform,30,42,4,5,29,51.41,3
ER,uniform,30,42,4,6,0,43.09,4
ER,uniform,30,42,4,6,1,47.13,3
ER,uniform,30,42,4,6,2,42.06,4
ER,uniform,30,42,4,6,3,59.39,3
ER,uniform,30,42,4,6,4,48.88,4
ER,uniform,30,42,4,6,5,45.45,4
ER,uniform,30,42,4,6,6,53.95,3
ER,uniform,30,42,4,6,7,46.14,1
ER,uniform,30,42,4,6,8,58.17,7
ER,uniform,30,42,4,6,9,46.06,4
ER,uniform,30,42,4,6,10,40.95,2
ER,uniform,30,42,4,6,11,53.81,4
ER,uniform,30,42,4,6,12,46.14,3
ER,uniform,30,42,4,6,13,51.13,2
ER,uniform,30,42,4,6,14,55.54,3
ER,uniform,30,42,4,6,15,46.24,4
ER,uniform,30,42,4,6,16,52.94,4
ER,uniform,30,42,4,6,17,45.61,3
ER,uniform,30,42,4,6,18,57.67,7
ER,uniform,30,42,4,6,19,40.88,1
ER,uniform,30,42,4,6,20,41.78,4
ER,uniform,30,42,4,6,21,44.78,3
ER,uniform,30,42,4,6,22,43.08,4
ER,uniform,30,42,4,6,23,44.8,2
ER,uniform,30,42,4,6,24,47.13,2
ER,uniform,30,42,4,6,25,55.4,5
ER,uniform,30,42,4,6,26,52.52,5
ER,uniform,30,42,4,6,27,36.81,3
ER,uniform,30,42,4,6,28,48.09,1
ER,uniform,30,42,4,6,29,55.27,3
ER,uniform,30,42,4,7,0,46.99,4
ER,uniform,30,42,4,7,1,51.98,3
ER,uniform,30,42,4,7,2,46.36,4
ER,uniform,30,42,4,7,3,63.73,3
ER,uniform,30,42,4,7,4,56.55,4
ER,uniform,30,42,4,7,5,50.34,4
ER,uniform,30,42,4,7,6,56.39,3
ER,uniform,30,42,4,7,7,49.93,1
ER,uniform,30,42,4,7,8,60.32,7
ER,uniform,30,42,4,7,9,50.83,4
ER,uniform,30,42,4,7,10,48.7,2
ER,uniform,30,42,4,7,11,56.67,4
ER,uniform,30,42,4,7,12,48.68,3
ER,uniform,30,42,4,7,13,55.84,2
ER,uniform,30,42,4,7,14,59.34,3
ER,uniform,30,42,4,7,15,51.77,4
ER,uniform,30,42,4,7,16,54.55,4
ER,uniform,30,42,4,7,17,47.38,3
ER,uniform,30,42,4,7,18,61.94,7
ER,uniform,30,42,4,7,19,48.33,1
ER,uniform,30,42,4,7,20,46.41,4
ER,uniform,30,42,4,7,21,49.85,3
ER,uniform,30,42,4,7,22,47.46,4
ER,uniform,30,42,4,7,23,47.12,2
ER,uniform,30,42,4,7,24,50.46,2
ER,uniform,30,42,4,7,25,58.27,5
ER,uniform,30,42,4,7,26,55.59,5
ER,uniform,30,42,4,7,27,39.96,3
ER,uniform,30,42,4,7,28,51.24,1
ER,uniform,30,42,4,7,29,59.27,3
ER,uniform,30,42,4,8,0,50.39,4
ER,uniform,30,42,4,8,1,55.58,3
ER,uniform,30,42,4,8,2,51.82,4
ER,uniform,30,42,4,8,3,65.93,3
ER,uniform,30,42,4,8,4,61.11,4
ER,uniform,30,42,4,8,5,55.07,4
ER,uniform,30,42,4,8,6,58.56,3
ER,uniform,30,42,4,8,7,52.45,1
ER,uniform,30,42,4,8,8,62.51,7
ER,uniform,30,42,4,8,9,53.07,4
ER,uniform,30,42,4,8,10,51.31,2
ER,uniform,30,42,4,8,11,58.2,4
ER,uniform,30,42,4,8,12,52.37,3
ER,uniform,30,42,4,8,13,60.78,2
ER,uniform,30,42,4,8,14,63.01,3
ER,uniform,30,42,4,8,15,55.13,4
ER,uniform,30,42,4,8,16,58.08,4
ER,uniform,30,42,4,8,17,49.56,3
ER,uniform,30,42,4,8,18,65.07,7
ER,uniform,30,42,4,8,19,54.46,1
ER,uniform,30,42,4,8,20,51.76,4
ER,uniform,30,42,4,8,21,55.36,3
ER,uniform,30,42,4,8,22,50.05,4
