topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,metropolis_hastings,30,42,4,1,0,17.64,1
ER,metropolis_hastings,30,42,4,1,1,20.06,2
ER,metropolis_hastings,30,42,4,1,2,25.84,2
ER,metropolis_hastings,30,42,4,1,3,16.39,5
ER,metropolis_hastings,30,42,4,1,4,27.1,4
ER,metropolis_hastings,30,42,4,1,5,27.44,4
ER,metropolis_hastings,30,42,4,1,6,22.97,5
ER,metropolis_hastings,30,42,4,1,7,19.78,3
ER,metropolis_hastings,30,42,4,1,8,19.73,5
ER,metropolis_hastings,30,42,4,1,9,26.42,6
ER,metropolis_hastings,30,42,4,1,10,24.3,3
ER,metropolis_hastings,30,42,4,1,11,18.31,2
ER,metropolis_hastings,30,42,4,1,12,21.18,4
ER,metropolis_hastings,30,42,4,1,13,19.92,4
ER,metropolis_hastings,30,42,4,1,14,21.21,8
ER,metropolis_hastings,30,42,4,1,15,25.5,2
ER,metropolis_hastings,30,42,4,1,16,25.58,6
ER,metropolis_hastings,30,42,4,1,17,19.5,2
ER,metropolis_hastings,30,42,4,1,18,33.45,3
ER,metropolis_hastings,30,42,4,1,19,25.07,3
ER,metropolis_hastings,30,42,4,1,20,30.2,8
ER,metropolis_hastings,30,42,4,1,21,23.04,3
ER,metropolis_hastings,30,42,4,1,22,29.24,3
ER,metropolis_hastings,30,42,4,1,23,26.84,4
ER,metropolis_hastings,30,42,4,1,24,20.66,2
ER,metropolis_hastings,30,42,4,1,25,21.29,3
ER,metropolis_hastings,30,42,4,1,26,32.43,6
ER,metropolis_hastings,30,42,4,1,27,22.82,4
ER,metropolis_hastings,30,42,4,1,28,19.68,4
ER,metropolis_hastings,30,42,4,1,29,21.29,3
ER,metropolis_hastings,30,42,4,2,0,18.65,1
ER,metropolis_hastings,30,42,4,2,1,20.81,2
ER,metropolis_hastings,30,42,4,2,2,32.32,2
ER,metropolis_hastings,30,42,4,2,3,28.87,5
ER,metropolis_hastings,30,42,4,2,4,35.77,4
ER,metropolis_hastings,30,42,4,2,5,30.0,4
ER,metropolis_hastings,30,42,4,2,6,33.9,5
ER,metropolis_hastings,30,42,4,2,7,23.79,3
ER,metropolis_hastings,30,42,4,2,8,29.63,5
ER,metropolis_hastings,30,42,4,2,9,33.3,6
ER,metropolis_hastings,30,42,4,2,10,33.46,3
ER,metropolis_hastings,30,42,4,2,11,15.53,2
ER,metropolis_hastings,30,42,4,2,12,25.23,4
ER,metropolis_hastings,30,42,4,2,13,20.59,4
ER,metropolis_hastings,30,42,4,2,14,30.34,8
ER,metropolis_hastings,30,42,4,2,15,28.17,2
ER,metropolis_hastings,30,42,4,2,16,28.23,6
ER,metropolis_hastings,30,42,4,2,17,24.14,2
ER,metropolis_hastings,30,42,4,2,18,39.44,3
ER,metropolis_hastings,30,42,4,2,19,37.37,3
ER,metropolis_hastings,30,42,4,2,20,35.16,8
ER,metropolis_hastings,30,42,4,2,21,22.66,3
ER,metropolis_hastings,30,42,4,2,22,34.82,3
ER,metropolis_hastings,30,42,4,2,23,36.11,4
ER,metropolis_hastings,30,42,4,2,24,25.34,2
ER,metropolis_hastings,30,42,4,2,25,29.5,3
ER,metropolis_hastings,30,42,4,2,26,33.8,6
ER,metropolis_hastings,30,42,4,2,27,37.33,4
ER,metropolis_hastings,30,42,4,2,28,32.22,4
ER,metropolis_hastings,30,42,4,2,29,30.58,3
ER,metropolis_hastings,30,42,4,3,0,26.82,1
ER,metropolis_hastings,30,42,4,3,1,30.5,2
ER,metropolis_hastings,30,42,4,3,2,37.04,2
ER,metropolis_hastings,30,42,4,3,3,35.55,5
ER,metropolis_hastings,30,42,4,3,4,37.58,4
ER,metropolis_hastings,30,42,4,3,5,36.72,4
ER,metropolis_hastings,30,42,4,3,6,37.82,5
ER,metropolis_hastings,30,42,4,3,7,39.92,3
ER,metropolis_hastings,30,42,4,3,8,33.5,5
ER,metropolis_hastings,30,42,4,3,9,38.48,6
ER,metropolis_hastings,30,42,4,3,10,38.76,3
ER,metropolis_hastings,30,42,4,3,11,20.67,2
ER,metropolis_hastings,30,42,4,3,12,31.13,4
ER,metropolis_hastings,30,42,4,3,13,29.93,4
ER,metropolis_hastings,30,42,4,3,14,37.34,8
ER,metropolis_hastings,30,42,4,3,15,32.08,2
ER,metropolis_hastings,30,42,4,3,16,35.44,6
ER,metropolis_hastings,30,42,4,3,17,33.57,2
ER,metropolis_hastings,30,42,4,3,18,40.26,3
