topology,mixing_strategy,num_nodes,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
ER,metropolis_hastings,50,42,4,0,4,0.16666666666666666,5.0,75.43,2.322800000000001
ER,metropolis_hastings,50,42,4,1,9,0.08333333333333333,4.777777777777778,75.96,2.852799999999988
ER,metropolis_hastings,50,42,4,2,4,0.0,4.5,76.04,2.9328000000000003
ER,metropolis_hastings,50,42,4,3,5,0.0,5.2,74.71,1.6027999999999878
ER,metropolis_hastings,50,42,4,4,1,0.0,5.0,66.16,-6.947200000000009
ER,metropolis_hastings,50,42,4,5,3,0.3333333333333333,7.333333333333333,69.97,-3.137200000000007
ER,metropolis_hastings,50,42,4,6,4,0.0,5.25,75.97,2.862799999999993
ER,metropolis_hastings,50,42,4,7,5,0.1,5.2,73.74,0.6327999999999889
ER,metropolis_hastings,50,42,4,8,4,0.16666666666666666,6.0,75.16,2.0527999999999906
ER,metropolis_hastings,50,42,4,9,1,0.0,5.0,70.2,-2.907200000000003
ER,metropolis_hastings,50,42,4,10,3,0.0,4.0,72.39,-0.7172000000000054
ER,metropolis_hastings,50,42,4,11,6,0.13333333333333333,4.666666666666667,75.24,2.132799999999989
ER,metropolis_hastings,50,42,4,12,2,0.0,5.0,64.78,-8.327200000000005
ER,metropolis_hastings,50,42,4,13,5,0.1,4.0,75.1,1.9927999999999884
ER,metropolis_hastings,50,42,4,14,7,0.0,3.857142857142857,74.11,1.0027999999999935
ER,metropolis_hastings,50,42,4,15,3,0.0,4.333333333333333,68.87,-4.237200000000001
ER,metropolis_hastings,50,42,4,16,5,0.1,5.6,74.4,1.2927999999999997
ER,metropolis_hastings,50,42,4,17,4,0.0,5.5,74.04,0.9328000000000003
ER,metropolis_hastings,50,42,4,18,4,0.0,4.25,73.55,0.4427999999999912
ER,metropolis_hastings,50,42,4,19,1,0.0,3.0,73.49,0.3827999999999889
ER,metropolis_hastings,50,42,4,20,4,0.0,4.25,71.28,-1.8272000000000048
ER,metropolis_hastings,50,42,4,21,3,0.3333333333333333,4.666666666666667,74.51,1.4027999999999992
ER,metropolis_hastings,50,42,4,22,8,0.10714285714285714,4.625,76.02,2.91279999999999
ER,metropolis_hastings,50,42,4,23,4,0.16666666666666666,4.25,72.01,-1.0972000000000008
ER,metropolis_hastings,50,42,4,24,5,0.2,4.2,74.18,1.0728000000000009
ER,metropolis_hastings,50,42,4,25,5,0.0,3.6,73.5,0.39279999999999404
ER,metropolis_hastings,50,42,4,26,5,0.0,3.2,71.41,-1.6972000000000094
ER,metropolis_hastings,50,42,4,27,4,0.16666666666666666,5.0,72.32,-0.7872000000000128
ER,metropolis_hastings,50,42,4,28,4,0.3333333333333333,4.75,71.45,-1.6572000000000031
ER,metropolis_hastings,50,42,4,29,7,0.047619047619047616,4.714285714285714,74.84,1.7327999999999975
ER,metropolis_hastings,50,42,4,30,5,0.1,4.8,74.38,1.2727999999999895
ER,metropolis_hastings,50,42,4,31,3,0.0,4.0,73.85,0.7427999999999884
ER,metropolis_hastings,50,42,4,32,4,0.16666666666666666,4.5,74.48,1.372799999999998
ER,metropolis_hastings,50,42,4,33,3,0.0,6.333333333333333,67.53,-5.577200000000005
ER,metropolis_hastings,50,42,4,34,2,0.0,5.0,67.93,-5.177199999999999
ER,metropolis_hastings,50,42,4,35,6,0.06666666666666667,4.333333333333333,74.84,1.7327999999999975
ER,metropolis_hastings,50,42,4,36,3,0.0,6.0,63.47,-9.637200000000007
ER,metropolis_hastings,50,42,4,37,4,0.3333333333333333,5.5,75.32,2.212799999999987
ER,metropolis_hastings,50,42,4,38,5,0.2,4.6,75.07,1.9627999999999872
ER,metropolis_hastings,50,42,4,39,4,0.16666666666666666,5.75,74.86,1.7527999999999935
ER,metropolis_hastings,50,42,4,40,3,0.0,4.666666666666667,75.16,2.0527999999999906
ER,metropolis_hastings,50,42,4,41,3,0.3333333333333333,6.333333333333333,72.44,-0.6672000000000082
ER,metropolis_hastings,50,42,4,42,3,0.0,5.333333333333333,74.22,1.112799999999993
ER,metropolis_hastings,50,42,4,43,2,0.0,3.5,71.21,-1.8972000000000122
ER,metropolis_hastings,50,42,4,44,6,0.0,5.0,75.63,2.5227999999999895
ER,metropolis_hastings,50,42,4,45,5,0.0,4.0,75.49,2.382799999999989
ER,metropolis_hastings,50,42,4,46,2,0.0,4.5,74.84,1.7327999999999975
ER,metropolis_hastings,50,42,4,47,5,0.0,4.2,73.75,0.642799999999994
ER,metropolis_hastings,50,42,4,48,4,0.3333333333333333,4.75,75.75,2.642799999999994
ER,metropolis_hastings,50,42,4,49,3,0.0,5.333333333333333,74.31,1.2027999999999963
